mainshock_id,mainshock_time,mainshock_lat,mainshock_lon,mainshock_mag,mainshock_depth,early_aftershock_count,early_max_mag,early_mean_mag,early_energy_sum,target_max_mag,target_time_to_max_days
iscgem799712,1970-01-04 17:00:41.150000+00:00,24.157,102.474,7.1,15.2,0,0.0,0.0,0.0,0.0,0.0
iscgem799727,1970-01-05 00:20:12+00:00,19.231,121.148,6.1,17.5,0,0.0,0.0,0.0,0.0,0.0
iscgem799772,1970-01-06 05:35:54.650000+00:00,-9.586,151.502,6.16,14.7,0,0.0,0.0,0.0,0.0,0.0
iscgem799824,1970-01-07 07:56:14.370000+00:00,15.781,-59.822,6.0,35.0,0,0.0,0.0,0.0,0.0,0.0
iscgem799944,1970-01-10 12:07:09.300000+00:00,6.808,126.646,7.26,58.1,0,0.0,0.0,0.0,0.0,0.0
iscgem800237,1970-01-20 07:19:48.450000+00:00,-25.908,-177.227,7.28,50.3,0,0.0,0.0,0.0,0.0,0.0
iscgem800254,1970-01-20 17:33:05.360000+00:00,42.534,143.08,6.45,33.5,0,0.0,0.0,0.0,0.0,0.0
iscgem800281,1970-01-21 17:51:38.070000+00:00,6.974,-104.261,6.7,15.4,0,0.0,0.0,0.0,0.0,0.0
iscgem800401,1970-01-26 10:01:20.360000+00:00,-12.662,166.493,6.45,35.7,0,0.0,0.0,0.0,0.0,0.0
iscgem798802,1970-02-04 05:08:50.040000+00:00,15.509,-99.575,6.42,18.7,0,0.0,0.0,0.0,0.0,0.0
iscgem798843,1970-02-05 12:46:39.180000+00:00,46.952,154.172,6.02,26.3,0,0.0,0.0,0.0,0.0,0.0
iscgem798855,1970-02-05 22:06:00.470000+00:00,12.617,121.985,6.72,8.8,0,0.0,0.0,0.0,0.0,0.0
iscgem798861,1970-02-06 00:11:48.450000+00:00,54.565,163.467,6.04,21.3,0,0.0,0.0,0.0,0.0,0.0
iscgem799398,1970-02-24 08:05:44.540000+00:00,59.562,-143.517,6.17,16.8,0,0.0,0.0,0.0,0.0,0.0
iscgem799415,1970-02-25 10:20:59.430000+00:00,24.124,122.298,6.08,31.2,0,0.0,0.0,0.0,0.0,0.0
iscgem799455,1970-02-26 23:29:05.760000+00:00,43.451,147.64,6.1,27.7,0,0.0,0.0,0.0,0.0,0.0
iscgem799476,1970-02-27 07:07:59.810000+00:00,50.079,-179.737,6.02,15.7,0,0.0,0.0,0.0,0.0,0.0
iscgem797509,1970-03-04 03:30:35.270000+00:00,12.218,143.811,6.21,17.9,0,0.0,0.0,0.0,0.0,0.0
iscgem797686,1970-03-09 16:01:12.400000+00:00,-19.111,168.702,6.6,37.2,0,0.0,0.0,0.0,0.0,0.0
iscgem797745,1970-03-10 04:58:29.450000+00:00,44.701,148.919,6.23,54.2,0,0.0,0.0,0.0,0.0,0.0
iscgem798211,1970-03-19 23:33:31.760000+00:00,51.355,173.66,6.31,17.7,0,0.0,0.0,0.0,0.0,0.0
iscgem798352,1970-03-24 10:35:19.470000+00:00,-22.033,126.721,6.0,10.0,0,0.0,0.0,0.0,0.0,0.0
iscgem798465,1970-03-27 18:36:51.560000+00:00,0.308,119.359,6.71,33.1,0,0.0,0.0,0.0,0.0,0.0
iscgem798488,1970-03-28 07:45:59.690000+00:00,-6.258,154.663,6.01,49.9,0,0.0,0.0,0.0,0.0,0.0
iscgem798506,1970-03-28 21:02:25.520000+00:00,39.132,29.58,7.23,22.2,0,0.0,0.0,0.0,6.1,18.685547106481483
iscgem798643,1970-03-30 16:46:44.770000+00:00,6.73,126.525,6.79,53.6,0,0.0,0.0,0.0,0.0,0.0
iscgem796378,1970-04-07 05:34:07.450000+00:00,15.786,121.678,7.42,30.9,1,6.52,6.52,380189396320559.7,7.03,1.935851851851852
iscgem796453,1970-04-08 13:50:28.790000+00:00,38.347,22.664,6.3,13.0,0,0.0,0.0,0.0,0.0,0.0
iscgem796759,1970-04-15 13:14:25.550000+00:00,15.177,122.662,6.24,26.0,0,0.0,0.0,0.0,0.0,0.0
iscgem796787,1970-04-16 05:33:20.550000+00:00,59.769,-142.595,6.65,10.0,0,0.0,0.0,0.0,0.0,0.0
iscgem796897,1970-04-18 23:25:35.360000+00:00,42.945,147.317,6.13,31.4,0,0.0,0.0,0.0,0.0,0.0
iscgem797311,1970-04-29 14:01:35.440000+00:00,14.472,-92.612,7.3,35.0,1,6.63,6.63,555904257270404.9,0.0,0.0
iscgem795204,1970-05-04 18:53:18.910000+00:00,-41.683,79.955,6.04,10.0,0,0.0,0.0,0.0,0.0,0.0
iscgem795586,1970-05-14 18:12:26.110000+00:00,43.137,47.141,6.7,12.2,0,0.0,0.0,0.0,0.0,0.0
iscgem795644,1970-05-15 17:13:13.940000+00:00,50.224,91.158,6.27,10.9,0,0.0,0.0,0.0,0.0,0.0
iscgem795832,1970-05-20 20:03:42.660000+00:00,-55.835,-28.263,6.14,64.4,0,0.0,0.0,0.0,0.0,0.0
iscgem796059,1970-05-27 22:35:49.790000+00:00,40.201,143.162,6.24,26.7,1,6.05,6.05,74989420933245.58,0.0,0.0
iscgem796097,1970-05-29 05:14:37.550000+00:00,-15.033,-173.46,6.08,16.6,0,0.0,0.0,0.0,0.0,0.0
iscgem796108,1970-05-29 19:02:21.720000+00:00,-11.627,166.426,6.23,62.8,0,0.0,0.0,0.0,0.0,0.0
iscgem796163,1970-05-31 20:23:30.720000+00:00,-9.266,-78.847,7.9,58.4,2,6.21,6.15,216416053063689.28,6.4,0.3235758101851852
iscgem794309,1970-06-05 04:53:08.510000+00:00,42.505,78.692,6.3,19.8,0,0.0,0.0,0.0,0.0,0.0
iscgem794484,1970-06-10 16:17:48.450000+00:00,44.821,149.535,6.1,41.0,0,0.0,0.0,0.0,0.0,0.0
iscgem794513,1970-06-11 16:46:34.180000+00:00,-59.272,159.229,7.3,15.0,0,0.0,0.0,0.0,0.0,0.0
iscgem794565,1970-06-14 00:00:10.850000+00:00,-52.027,-74.131,6.87,15.0,0,0.0,0.0,0.0,0.0,0.0
iscgem794605,1970-06-15 11:14:51.080000+00:00,-54.421,-64.239,6.79,10.0,0,0.0,0.0,0.0,0.0,0.0
iscgem794705,1970-06-19 10:56:15.760000+00:00,-22.226,-70.351,6.5,50.0,0,0.0,0.0,0.0,0.0,0.0
iscgem794827,1970-06-24 13:09:12.490000+00:00,51.754,-131.006,7.3,19.9,0,0.0,0.0,0.0,0.0,0.0
iscgem794847,1970-06-25 05:13:57.570000+00:00,-7.883,158.775,6.21,48.3,0,0.0,0.0,0.0,0.0,0.0
iscgem793406,1970-07-02 00:45:02.380000+00:00,-10.166,-78.54,6.0,50.1,0,0.0,0.0,0.0,0.0,0.0
iscgem793407,1970-07-02 00:56:14.130000+00:00,-51.056,139.265,6.08,10.0,0,0.0,0.0,0.0,0.0,0.0
iscgem793612,1970-07-09 12:11:57.930000+00:00,43.772,148.396,6.06,29.4,0,0.0,0.0,0.0,0.0,0.0
iscgem793800,1970-07-16 21:17:43.670000+00:00,-19.187,-173.333,6.09,15.0,0,0.0,0.0,0.0,0.0,0.0
iscgem793837,1970-07-17 20:04:47.040000+00:00,-22.026,-174.652,6.31,20.8,0,0.0,0.0,0.0,0.0,0.0
iscgem793841,1970-07-18 01:48:38.910000+00:00,51.353,-178.504,6.1,31.3,0,0.0,0.0,0.0,0.0,0.0
iscgem793870,1970-07-19 09:22:43.510000+00:00,-3.997,152.226,6.16,18.4,0,0.0,0.0,0.0,0.0,0.0
iscgem794013,1970-07-25 22:41:13.800000+00:00,32.138,131.751,7.0,42.7,1,6.2,6.2,125892541179417.14,0.0,0.0
iscgem794089,1970-07-28 23:06:24.120000+00:00,-44.453,-79.47,6.03,15.0,0,0.0,0.0,0.0,0.0,0.0
iscgem794098,1970-07-29 05:50:58.810000+00:00,39.872,77.754,6.01,14.8,0,0.0,0.0,0.0,0.0,0.0
iscgem794114,1970-07-30 00:52:20.690000+00:00,37.761,55.852,6.36,12.4,0,0.0,0.0,0.0,0.0,0.0
iscgem794121,1970-07-30 04:58:46.170000+00:00,14.179,51.92,6.55,28.8,0,0.0,0.0,0.0,0.0,0.0
iscgem792739,1970-08-11 03:48:52.120000+00:00,-1.136,-13.871,6.35,15.5,0,0.0,0.0,0.0,0.0,0.0
iscgem792753,1970-08-11 10:22:21.760000+00:00,-14.066,166.666,6.9,20.0,2,6.38,6.195,299735936796740.2,0.0,0.0
iscgem792811,1970-08-12 09:24:15.910000+00:00,11.889,-86.704,6.52,55.0,0,0.0,0.0,0.0,0.0,0.0
iscgem792985,1970-08-18 17:52:09.220000+00:00,60.578,-145.518,6.07,27.1,0,0.0,0.0,0.0,0.0,0.0
iscgem793157,1970-08-24 12:30:19.120000+00:00,-56.412,-142.635,6.4,16.7,0,0.0,0.0,0.0,0.0,0.0
iscgem793243,1970-08-27 16:22:24.460000+00:00,-15.23,-173.218,6.03,10.0,0,0.0,0.0,0.0,0.0,0.0
iscgem793250,1970-08-28 01:02:47.020000+00:00,-4.651,153.185,6.48,59.2,0,0.0,0.0,0.0,0.0,0.0
iscgem791596,1970-09-01 05:11:15.650000+00:00,17.722,147.675,6.6,24.7,0,0.0,0.0,0.0,0.0,0.0
iscgem791667,1970-09-03 09:32:21.130000+00:00,-16.947,167.839,6.11,17.0,0,0.0,0.0,0.0,0.0,0.0
iscgem791993,1970-09-14 09:44:55.370000+00:00,38.774,142.306,6.43,45.2,0,0.0,0.0,0.0,0.0,0.0
iscgem792044,1970-09-16 01:49:19.890000+00:00,13.133,144.533,6.02,30.0,0,0.0,0.0,0.0,0.0,0.0
iscgem792259,1970-09-23 12:04:55.380000+00:00,-6.46,154.621,6.35,38.1,1,6.06,6.06,77624711662869.28,6.1,5.75738125
iscgem792345,1970-09-27 03:38:38.880000+00:00,6.401,-77.407,6.57,10.0,0,0.0,0.0,0.0,0.0,0.0
iscgem792410,1970-09-29 06:03:26.860000+00:00,-13.501,166.663,6.27,50.0,0,0.0,0.0,0.0,0.0,0.0
iscgem790976,1970-10-10 08:53:05.800000+00:00,-3.49,86.145,6.3,29.4,0,0.0,0.0,0.0,0.0,0.0
iscgem790994,1970-10-11 03:16:50.370000+00:00,-31.999,-178.039,6.5,25.7,1,6.24,6.24,144543977074592.8,0.0,0.0
iscgem790996,1970-10-11 03:30:02.010000+00:00,26.869,129.788,6.04,15.0,0,0.0,0.0,0.0,0.0,0.0
iscgem791107,1970-10-14 18:15:39.610000+00:00,43.438,147.922,6.49,33.7,1,6.09,6.09,86099375218459.81,0.0,0.0
iscgem791152,1970-10-16 05:26:13.100000+00:00,39.273,140.75,6.2,11.9,0,0.0,0.0,0.0,0.0,0.0
iscgem791408,1970-10-25 15:09:50.570000+00:00,9.096,93.885,6.34,23.7,0,0.0,0.0,0.0,0.0,0.0
iscgemsup791511,1970-10-29 02:23:23.880000+00:00,-41.361,80.434,6.0,20.0,0,0.0,0.0,0.0,0.0,0.0
iscgem791579,1970-10-31 17:53:14.060000+00:00,-4.98,145.414,6.9,59.5,0,0.0,0.0,0.0,6.3,8.509762037037037
iscgem789784,1970-11-02 10:13:34.590000+00:00,-15.573,-175.965,6.15,10.0,0,0.0,0.0,0.0,0.0,0.0
iscgem789999,1970-11-08 14:58:56.540000+00:00,9.09,126.401,6.13,30.0,0,0.0,0.0,0.0,0.0,0.0
iscgem790008,1970-11-08 22:35:46.620000+00:00,-3.383,135.607,6.7,22.4,0,0.0,0.0,0.0,0.0,0.0
iscgem790180,1970-11-13 14:16:23.740000+00:00,11.935,123.95,6.58,21.7,0,0.0,0.0,0.0,0.0,0.0
iscgem790201,1970-11-14 07:58:21.080000+00:00,22.846,121.388,6.2,25.0,0,0.0,0.0,0.0,0.0,0.0
iscgem790310,1970-11-18 09:45:28.120000+00:00,-3.505,148.993,6.12,18.6,0,0.0,0.0,0.0,0.0,0.0
iscgem790319,1970-11-18 20:10:57.070000+00:00,-28.867,-112.835,6.0,10.0,0,0.0,0.0,0.0,0.0,0.0
iscgemsup790629,1970-11-28 14:45:34.200000+00:00,-21.019,-69.86,6.0,45.2,0,0.0,0.0,0.0,0.0,0.0
iscgem790645,1970-11-29 06:01:18.380000+00:00,-11.76,-13.968,6.36,11.7,0,0.0,0.0,0.0,0.0,0.0
iscgem788799,1970-12-01 21:09:38.100000+00:00,51.317,-175.409,6.07,31.0,0,0.0,0.0,0.0,0.0,0.0
iscgem788837,1970-12-02 15:54:22.020000+00:00,-11.072,163.459,6.97,30.0,0,0.0,0.0,0.0,0.0,0.0
iscgem788901,1970-12-04 17:08:50.930000+00:00,-23.25,-70.031,6.5,45.2,0,0.0,0.0,0.0,0.0,0.0
iscgem788955,1970-12-06 20:20:52.530000+00:00,41.775,143.686,6.51,39.7,0,0.0,0.0,0.0,0.0,0.0
iscgem789000,1970-12-08 19:30:08.120000+00:00,-30.877,-71.179,6.39,48.9,0,0.0,0.0,0.0,0.0,0.0
iscgem789028,1970-12-10 04:34:40.150000+00:00,-4.044,-80.661,7.2,19.2,0,0.0,0.0,0.0,0.0,0.0
iscgem789314,1970-12-19 10:38:07.170000+00:00,-1.6,99.911,6.13,43.2,0,0.0,0.0,0.0,0.0,0.0
iscgem789478,1970-12-25 12:53:36.860000+00:00,-0.406,-19.249,6.15,16.0,0,0.0,0.0,0.0,0.0,0.0
iscgem789605,1970-12-28 20:03:26.960000+00:00,-5.219,153.577,6.56,61.5,0,0.0,0.0,0.0,0.0,0.0
iscgem789614,1970-12-29 02:26:10.140000+00:00,-10.504,161.412,6.66,41.0,0,0.0,0.0,0.0,0.0,0.0
