mainshock_id,mainshock_time,mainshock_lat,mainshock_lon,mainshock_mag,mainshock_depth,early_aftershock_count,early_max_mag,early_mean_mag,early_energy_sum,target_max_mag,target_time_to_max_days,advanced_early_event_count,bath_deficit,bath_early_max_mag,bath_valid,gr_b_value,gr_a_value,gr_mc,gr_n,gr_valid,productivity_index,omori_p,omori_c,omori_k,omori_nll,omori_n,omori_p_boundary_hit,omori_valid,anisotropy_major_axis_km,anisotropy_minor_axis_km,anisotropy_axis_ratio,anisotropy_azimuth_deg,anisotropy_n,anisotropy_valid,count_1h,energy_1h,count_6h,energy_6h,count_12h,energy_12h,count_24h,energy_24h,count_72h,energy_72h,etas_mu,etas_K0,etas_alpha,etas_c,etas_p,etas_nll,etas_n,etas_valid,plate_type_SUB,plate_type_OTF,plate_type_OSR,plate_type_UNK,plate_boundary_distance_km,nearest_plate_boundary_type,strike1,dip1,rake1,strike2,dip2,rake2,fault_type,fault_type_Thrust,fault_type_Normal,fault_type_Strike_Slip,fault_type_Unknown,fault_type_NF,fault_type_SS,fault_type_TF,fault_type_UNK,plunge_P,trend_P,plunge_T,trend_T,f_clvd,gcmt_time_diff_seconds,gcmt_distance_km,focal_mechanism_valid
iscgem799712,1970-01-04 17:00:41.150000+00:00,24.157,102.474,7.1,15.2,0,0.0,0.0,0.0,0.0,0.0,4,1.2399999999999993,5.86,True,,,,4,False,,,,,,4,False,False,22.552843237258937,6.654641715988538,3.3890394404064086,127.95440368088614,4,True,1,13803842646028.867,2,17924817837002.156,2,17924817837002.156,4,59746759350431.37,4,59746759350431.37,,,,,,,4,False,0,0,0,1,412.9388725354681,UNK,,,,,,,Unknown,0,0,0,1,0,0,0,1,,,,,,,,False
iscgem799727,1970-01-05 00:20:12+00:00,19.231,121.148,6.1,17.5,0,0.0,0.0,0.0,0.0,0.0,0,6.1,,False,,,,0,False,,,,,,0,False,False,,,,,0,False,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,,,,,,0,False,1,0,0,0,112.01659825673197,SUB,,,,,,,Unknown,0,0,0,1,0,0,0,1,,,,,,,,False
iscgem799772,1970-01-06 05:35:54.650000+00:00,-9.586,151.502,6.16,14.7,0,0.0,0.0,0.0,0.0,0.0,0,6.16,,False,,,,0,False,,,,,,0,False,False,,,,,0,False,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,,,,,,0,False,0,0,0,1,10.198385294614507,UNK,,,,,,,Unknown,0,0,0,1,0,0,0,1,,,,,,,,False
iscgem799824,1970-01-07 07:56:14.370000+00:00,15.781,-59.822,6.0,35.0,0,0.0,0.0,0.0,0.0,0.0,0,6.0,,False,,,,0,False,,,,,,0,False,False,,,,,0,False,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,,,,,,0,False,1,0,0,0,116.21851421431842,SUB,,,,,,,Unknown,0,0,0,1,0,0,0,1,,,,,,,,False
iscgem799944,1970-01-10 12:07:09.300000+00:00,6.808,126.646,7.26,58.1,0,0.0,0.0,0.0,0.0,0.0,3,1.3099999999999996,5.95,True,,,,3,False,,,,,,3,False,False,37.55878312615029,5.409743565346,6.942802865323632,0.6951464524069877,3,True,0,0.0,2,48005277552640.38,2,48005277552640.38,3,101093721975739.39,3,101093721975739.39,,,,,,,3,False,1,0,0,0,66.46416515285152,SUB,,,,,,,Unknown,0,0,0,1,0,0,0,1,,,,,,,,False
iscgem800237,1970-01-20 07:19:48.450000+00:00,-25.908,-177.227,7.28,50.3,0,0.0,0.0,0.0,0.0,0.0,0,7.28,,False,,,,0,False,,,,,,0,False,False,,,,,0,False,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,,,,,,0,False,0,0,0,1,60.93810055770721,UNK,,,,,,,Unknown,0,0,0,1,0,0,0,1,,,,,,,,False
iscgem800254,1970-01-20 17:33:05.360000+00:00,42.534,143.08,6.45,33.5,0,0.0,0.0,0.0,0.0,0.0,0,6.45,,False,,,,0,False,,,,,,0,False,False,,,,,0,False,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,,,,,,0,False,1,0,0,0,285.8029791473504,SUB,,,,,,,Unknown,0,0,0,1,0,0,0,1,,,,,,,,False
iscgem800281,1970-01-21 17:51:38.070000+00:00,6.974,-104.261,6.7,15.4,0,0.0,0.0,0.0,0.0,0.0,0,6.7,,False,,,,0,False,,,,,,0,False,False,,,,,0,False,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,,,,,,0,False,0,0,0,1,153.47672692436362,UNK,,,,,,,Unknown,0,0,0,1,0,0,0,1,,,,,,,,False
iscgem800401,1970-01-26 10:01:20.360000+00:00,-12.662,166.493,6.45,35.7,0,0.0,0.0,0.0,0.0,0.0,0,6.45,,False,,,,0,False,,,,,,0,False,False,,,,,0,False,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,,,,,,0,False,1,0,0,0,67.33372313565673,SUB,,,,,,,Unknown,0,0,0,1,0,0,0,1,,,,,,,,False
iscgem798802,1970-02-04 05:08:50.040000+00:00,15.509,-99.575,6.42,18.7,0,0.0,0.0,0.0,0.0,0.0,0,6.42,,False,,,,0,False,,,,,,0,False,False,,,,,0,False,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,,,,,,0,False,1,0,0,0,70.89151936980889,SUB,,,,,,,Unknown,0,0,0,1,0,0,0,1,,,,,,,,False
