number,value,lgb_lr,lgb_num_leaves,lgb_max_depth,lgb_min_child_samples,lgb_subsample,lgb_colsample_bytree,lgb_reg_alpha,lgb_reg_lambda,xgb_lr,xgb_max_depth,xgb_min_child_weight,xgb_subsample,xgb_colsample_bytree,xgb_reg_alpha,xgb_reg_lambda,feature_selection,feature_selection_ratio,feature_selection_min,purge_days,min_purge_days,dl_d_model,dl_nhead,dl_num_layers,dl_dim_ff,dl_dropout,dl_lr,dl_batch_size,dl_epochs,dl_global_hidden,dl_fusion_hidden,gnn_node_hidden,gnn_layers,gnn_sigma,gnn_radius_km,gnn_gru_hidden,gnn_gru_layers,gnn_dropout,gnn_lr,gnn_batch_size,gnn_epochs,gnn_global_hidden,gnn_fusion_hidden,ensemble_grid_step,attr_n_features,attr_feature_selection,attr_dl_error,attr_gnn_error,attr_mag_rmse,attr_time_asym_rmse,attr_time_rmse,attr_n_models,attr_available_models,attr_holdout_combined,attr_holdout_mag_rmse,attr_holdout_time_asym_rmse
0,10.680596149069283,0.023688639503640783,222,12,29,0.5702083881990965,0.48579698618491146,0.0001707396743152812,5.3994844097874335,0.039913058785616795,10,2,0.9364594334728974,0.8578434524402319,0.0011526449540315614,0.23102018878452935,False,0.7836647510712832,37,31.17201863643748,14.01335210500283,256,8,1,128,0.38210993803866666,0.0046195751598136275,16,32,256,128,32,3,34.788356442042165,146.95846277645586,64,2,0.37265598225809093,0.0006130028679593761,32,19,128,128,0.02,143,False,DL fold best_state is None,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",0.5231495061924848,9.111147630491828,9.032453925545374,2,"baseline,xgboost",12.233591161794527,2.545697444313188,9.687893717481339
1,10.575033976564878,0.09702573394120728,133,5,5,0.8669576428046754,0.7887715391161894,0.08241925264876443,3.487712624545931,0.011858906685575274,6,6,0.888396541644017,0.7428139697551568,0.004513257622008946,0.13400367243354802,False,0.8553621624183224,46,80.63865763383511,11.499868652915087,256,4,1,512,0.16002459337671435,0.0016126521335895596,16,34,256,128,64,1,91.40471987919823,103.93422419156508,64,1,0.1297773068896796,0.0013368349555492052,16,21,64,128,0.04,143,False,DL fold best_state is None,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",0.5212006933345316,9.011431896561284,9.624813387609787,2,"baseline,xgboost",12.290485843109664,2.5346855506855777,9.755800292424087
2,10.79084389635341,0.02310093735409802,236,15,10,0.7237618276515734,0.5654830703992233,0.0013783578294796386,0.11851515660043109,0.0406971815895597,8,3,0.6253909089064751,0.8995462372816595,0.0015769192447197536,0.19489008462344254,False,0.6847193450290251,47,70.21442807228357,7.2774757918631945,64,4,2,512,0.055805740124749655,0.0016257848140834082,32,32,128,256,32,5,64.416064927957,102.96505783560065,128,3,0.2715855100456438,0.001091439822223209,32,28,64,128,0.04,143,False,DL fold best_state is None,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",0.5288665835034091,9.204244145843182,9.181602182562537,2,"baseline,xgboost",,,
3,10.516680756987409,0.046078864571905936,15,5,25,0.811352838961712,0.7585786927264302,0.0007890004262668581,2.656797431288617,0.017268280218698494,6,38,0.7923348045712466,0.8670728757717978,0.19411739809629622,1.3696739838480052,False,0.6928208286886038,30,87.75987604445298,10.075759044001687,64,8,2,256,0.37916050452352,0.004496748322718375,16,39,128,64,32,3,94.89238193286248,119.6029796674973,128,3,0.09902940533278343,0.0016492999913537295,8,25,256,256,0.02,143,False,DL fold best_state is None,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",0.5171438714566499,8.96524914261746,9.10345128018704,2,"baseline,xgboost",12.070472702982629,2.5486635090635676,9.521809193919061
4,10.573501141079241,0.06284853792838702,94,12,53,0.9005024038179048,0.5858973362683447,0.00317930219993954,0.1541572234890904,0.03786867772813403,3,24,0.7441900856184095,0.5575976886705565,0.08998420889037455,0.11508017135300931,False,0.726066724493942,25,50.346190584548765,16.859883955774997,96,8,6,512,0.144791287941726,0.0013738566652113896,64,36,64,256,32,5,79.03175333566148,105.43540525114007,32,2,0.3152461386625292,0.0005168487770117259,8,28,64,64,0.02,143,False,DL fold best_state is None,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",0.5183578629240275,9.018427552307159,9.101756023300823,2,"baseline,xgboost",,,
5,10.398259254832478,0.04129049582940024,90,3,14,0.7816369620714063,0.6767249422190482,0.2666609148594749,2.076764556616243,0.014552393414438924,3,33,0.5119300897437298,0.7221765697004048,5.025175192217658,1.4156254304586418,False,0.7603885116720308,42,85.14157912845158,9.949847480413936,64,8,1,256,0.33506396890612755,0.0009568079587033934,32,37,128,256,32,4,47.264283220241424,143.07573256035647,32,3,0.08609335409257642,0.003995056364976249,16,29,256,256,0.02,143,False,DL fold best_state is None,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",0.514627753595836,8.85437599404497,9.019542686803915,2,"baseline,xgboost",12.191151574320267,2.5042645300677857,9.686887044252481
6,10.546387060567309,0.04283879164439556,52,6,12,0.8026333052346672,0.813805991190724,0.14666151770108524,3.795214141463415,0.012336901664320325,7,3,0.7472879970456809,0.6428417757553574,2.7448645214004346,0.5033035864411283,False,0.8665287211011152,45,15.393182118191591,4.513922510069953,128,4,3,512,0.31368236484062956,0.0011891306954885678,32,26,64,128,128,4,66.66950120777277,146.21725484745417,128,1,0.387127888804214,0.0005141910097154732,8,22,64,64,0.02,143,False,DL fold best_state is None,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",0.5178105366176847,8.992955450714254,9.23879815645368,2,"baseline,xgboost",,,
7,10.743703159870806,0.04241877085788319,78,14,5,0.6264334353165036,0.9227263162421072,0.3639612396485067,0.8152926095771763,0.04169966805125599,5,10,0.7086642822229919,0.5943437254143291,0.08284771967185929,0.14304387745680647,False,0.8443565999069107,41,32.6907921517652,17.648310354725076,256,2,6,128,0.1817621784073174,0.003232386878415026,16,24,64,64,64,5,99.73094696591244,105.54317056026275,64,1,0.20769044735853276,0.000673177232796811,8,24,64,256,0.04,143,False,DL fold best_state is None,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",0.525089221346313,9.168435495831867,9.329127619945233,2,"baseline,xgboost",,,
8,10.832888951833429,0.03563746787062914,72,14,16,0.5603068528027884,0.41583047197233647,0.10484531351650946,1.7402798941249735,0.0505917576786088,5,7,0.5065450995505468,0.5928231573436283,0.08904067307938413,0.6088188496927436,False,0.721889413458155,41,72.04320005751488,10.137770081782863,128,2,6,512,0.1340509665723676,0.0005954335923727245,64,18,64,64,64,1,42.287227122556686,67.70104842767468,128,1,0.1774944513668264,0.0015936291870799616,32,23,256,256,0.02,143,False,DL fold best_state is None,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",0.528589606418369,9.24712013257832,9.159258118922624,2,"baseline,xgboost",,,
9,10.474081741557157,0.01619382058562133,42,9,31,0.6660111378063975,0.6543940938732313,0.09769756791866073,0.11840400859653273,0.017882858672204755,10,45,0.7302548489520497,0.6926624168959237,0.00034344726058983886,0.7849188043830676,True,0.6942351308322833,35,8.665909415551289,8.797424980497208,192,4,1,512,0.20108084118038783,0.0006707339776461751,64,29,128,64,32,2,33.86988762358038,139.67654246264252,64,3,0.08921361575881834,0.0012497570731744188,8,16,256,128,0.02,35,True,DL fold best_state is None,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",0.5168600365429096,8.923501631928428,8.95126806256608,2,"baseline,xgboost",,,
