number,value,lgb_lr,lgb_num_leaves,lgb_max_depth,lgb_min_child_samples,lgb_subsample,lgb_colsample_bytree,lgb_reg_alpha,lgb_reg_lambda,xgb_lr,xgb_max_depth,xgb_min_child_weight,xgb_subsample,xgb_colsample_bytree,xgb_reg_alpha,xgb_reg_lambda,feature_selection,feature_selection_ratio,feature_selection_min,purge_days,min_purge_days,ensemble_grid_step,attr_n_features,attr_feature_selection,attr_mag_rmse,attr_time_asym_rmse,attr_time_rmse,attr_n_models,attr_available_models,attr_holdout_combined,attr_holdout_mag_rmse,attr_holdout_time_asym_rmse
0,10.681002732622982,0.023688639503640783,222,12,29,0.5702083881990965,0.48579698618491146,0.0001707396743152812,5.3994844097874335,0.039913058785616795,10,2,0.9364594334728974,0.8578434524402319,0.0011526449540315614,0.23102018878452935,False,0.7836647510712832,37,31.17201863643748,14.01335210500283,0.04,143,False,0.5231661134480154,9.111504392278936,9.032911039505176,2,"baseline,xgboost",12.21839877914169,2.546175928409495,9.672222850732195
1,10.441565192651566,0.023246728489504348,54,13,8,0.7314054972861253,0.7258280128741234,0.00015339162591163628,1.6409286730647923,0.014808945119975192,3,48,0.9345344148835517,0.8446185414640536,0.0033347927286375843,0.1567993391672301,True,0.6427133821956725,40,9.854247252563127,19.36776723741808,0.04,40,True,0.5145439648539366,8.897933298089756,9.096709676450907,2,"baseline,xgboost",12.211226223789348,2.520326949311727,9.690899274477621
2,10.733016597552034,0.020497980520950188,64,10,8,0.9363130824940513,0.826323052848613,0.5727904470799616,6.161049539380966,0.03961867790406585,12,5,0.5881922880886153,0.42487500890079594,0.004233032996527599,0.59890036722543,False,0.7248636643427562,31,52.04377490213462,5.536636049545727,0.02,143,False,0.5250480308902951,9.15787250488115,9.112457955699082,2,"baseline,xgboost",,,
3,10.574919913735494,0.09702573394120728,133,5,5,0.8669576428046754,0.7887715391161894,0.08241925264876443,3.487712624545931,0.011858906685575274,6,6,0.888396541644017,0.7428139697551568,0.004513257622008946,0.13400367243354802,False,0.8553621624183224,46,80.63865763383511,11.499868652915087,0.04,143,False,0.5212147267722858,9.011275733418637,9.62311609700743,2,"baseline,xgboost",,,
4,10.539290860659188,0.057648106701146694,73,13,21,0.7352297732218973,0.6351475600972023,0.00012637946338082883,0.16435497475111327,0.010750512925563078,9,16,0.7288568110241163,0.899161560659351,0.0017638479543546886,0.6618595597183481,True,0.6269429684400776,31,20.381366842082365,19.734557742166317,0.02,31,True,0.516798312059626,8.98889592448031,9.25434860833925,2,"baseline,xgboost",,,
5,10.478291058616913,0.07438075634395301,145,5,72,0.7427040088620428,0.8440920853402344,0.38403004190988527,0.432520752538653,0.012884035848463487,5,22,0.8681066446651219,0.8734018207909888,0.00010833297073737757,1.05073840241814,True,0.641952878566789,33,85.26150542473908,8.817652776373594,0.04,33,True,0.5167188962339053,8.928134369915197,9.111476311982587,2,"baseline,xgboost",,,
6,10.790489304708208,0.02310093735409802,236,15,10,0.7237618276515734,0.5654830703992233,0.0013783578294796386,0.11851515660043109,0.0406971815895597,8,3,0.6253909089064751,0.8995462372816595,0.0015769192447197536,0.19489008462344254,False,0.6847193450290251,47,70.21442807228357,7.2774757918631945,0.02,143,False,0.5288959625813229,9.20380141696424,9.18216892942688,2,"baseline,xgboost",,,
7,10.678988915167476,0.04288504109627157,89,9,6,0.8758861230151571,0.5764290357344547,0.0005572807500029967,0.12065637774378937,0.03898458749305194,9,1,0.7304418762346764,0.5245726763588658,0.16821470258034152,0.22321987366901574,True,0.9278554960578571,25,35.30850713717146,5.042523382330604,0.02,44,True,0.5235278663531172,9.108405316108126,9.369606571291364,2,"baseline,xgboost",,,
8,10.722113753379777,0.018110966519152245,96,13,25,0.7383427602602028,0.5330187599952484,0.00023572794556769836,6.229189113188561,0.07950932329069353,9,17,0.6571443085756974,0.7992756233786316,3.0588015371390562,5.945287330479987,True,0.6294489877482671,26,81.57999764774758,13.915723073872618,0.04,26,True,0.521220138854677,9.158453336815747,8.974985377017921,2,"baseline,xgboost",,,
9,10.516642742136579,0.046078864571905936,15,5,25,0.811352838961712,0.7585786927264302,0.0007890004262668581,2.656797431288617,0.017268280218698494,6,38,0.7923348045712466,0.8670728757717978,0.19411739809629622,1.3696739838480052,False,0.6928208286886038,30,87.75987604445298,10.075759044001687,0.02,143,False,0.5171438714566499,8.96521112776663,9.103067828395986,2,"baseline,xgboost",,,
10,10.520939641867846,0.01674052703582309,110,15,6,0.742567161130181,0.9086548315204664,0.00020617106708236888,2.7116861844741087,0.030066094761583045,3,50,0.9474089626840992,0.5567234877623832,0.00011501416673070485,0.3060579126473436,False,0.6550734785103542,47,26.826029674970226,16.860626796065688,0.04,143,False,0.5185307347815852,8.965347437523091,9.150489308182223,2,"baseline,xgboost",12.236581347353946,2.560385922878782,9.676195424475164
11,10.455394337280872,0.01745820662867657,41,15,6,0.8740082098462609,0.6728643601490045,0.001523201603363248,0.497718346245602,0.0175000882848634,3,41,0.9171518131647215,0.9158026765321979,0.008959030191429816,0.30487634698051785,True,0.6832246853859205,45,19.09716707889308,18.01731472165673,0.04,45,True,0.5146764640345337,8.91136494517727,9.037680556693765,2,"baseline,xgboost",,,
12,10.620319209263547,0.01296693561968916,33,15,6,0.9253236786129371,0.6050213368777572,0.0009394097778095133,0.2635714209662772,0.035403585992910894,6,38,0.903894096105007,0.8746496217298332,0.009819198211845608,0.11693039816391738,True,0.6383156633071276,53,33.60059696242152,12.783221924457912,0.04,53,True,0.5218842054156851,9.054666593016492,8.988811376424978,2,"baseline,xgboost",,,
13,10.44765860198986,0.040745972523540445,36,9,5,0.6252026639533409,0.5156566939250465,0.00015319690009607908,3.3568226449576275,0.012562701895414615,3,35,0.9366717228242195,0.8447276886840589,0.0005159058951010613,0.15846838893243625,True,0.6618646276699842,29,24.26177706416719,15.736522087258521,0.04,29,True,0.5140257680728506,8.905581297771308,9.159285558425786,2,"baseline,xgboost",,,
14,10.413742260070283,0.04828877655200939,52,4,11,0.5163429733010155,0.4403582707780859,0.0015810464111879006,0.8633863043910328,0.016436297938717263,3,39,0.7867958067042965,0.7696016380844519,0.0030438181074310513,0.11341366572657674,True,0.6831078895319562,23,16.9943041475267,15.479053876633403,0.04,23,True,0.5136525359523759,8.872784652213154,9.04457738440893,2,"baseline,xgboost",12.027759603510475,2.5201919336594463,9.507567669851028
15,10.4846965278886,0.04619017907761033,53,5,7,0.5591435125900724,0.4109489554629765,0.0002842803420149033,0.6147374002631341,0.02604785905696166,3,33,0.6091355662984429,0.681669270989445,0.024966168714512925,0.18129762260498994,True,0.696348520118603,20,12.949303682913035,17.843621483158916,0.04,20,True,0.515040504248597,8.93957501514281,9.133148457361315,2,"baseline,xgboost",,,
16,10.435358184727015,0.038857501315015565,40,13,8,0.7677358432709445,0.9176299805508444,0.0021898907911136823,6.158594379243554,0.011121789309267965,4,47,0.9188470467320571,0.7195006058236739,0.029640024625358065,0.10631524368621283,True,0.6398030510518522,40,16.80938335965478,16.010351786666455,0.02,40,True,0.5150638921759254,8.890166508199238,9.124819232039346,2,"baseline,xgboost",,,
17,10.521729666466676,0.060071634872883674,53,15,11,0.6505397633443739,0.9359736103644637,0.06489580078991018,7.158769671455391,0.01764410087556585,7,45,0.8190532606271089,0.6898798107824696,0.020326216238977582,0.10394225587326564,True,0.6348749980745487,29,41.121475875738355,17.620391502989285,0.04,29,True,0.5154938032024404,8.975248256859354,9.347686219421407,2,"baseline,xgboost",,,
18,10.423512944975382,0.03224241585817337,36,14,6,0.7366257211913363,0.8567615183157469,0.00041141244093491564,5.500466497975058,0.010535419293739003,9,45,0.723529680798719,0.5667808315410792,0.0070367799785381515,0.1344473819820757,True,0.6734140359033935,42,8.911785544185483,9.620125312135396,0.02,42,True,0.5143479837590758,8.880468993698155,9.054986121571636,2,"baseline,xgboost",,,
19,10.50459315513029,0.020168476711489074,22,13,6,0.6715768263676098,0.8631276168570301,0.0006694349803986529,4.352230149964736,0.020232441615772336,6,50,0.805913097042936,0.7193658963478117,0.0002487887693316481,0.23354737155025485,False,0.721396751414579,56,9.979349829819885,5.302884459573258,0.02,143,False,0.5166406771948967,8.9546711235456,8.993392147158895,2,"baseline,xgboost",,,
20,10.432907724729123,0.021018593379967136,57,13,21,0.5708074474084688,0.758488088061837,0.009007737787076699,9.946558655249369,0.01496346346025423,7,49,0.590814190957256,0.7231208035784864,0.0727169633547708,0.12927394939488926,True,0.711021766972245,32,12.271435121640684,9.562183075871102,0.02,32,True,0.5144229524693185,8.889638867321167,9.033951735772158,2,"baseline,xgboost",11.890648600514565,2.5167454149855515,9.373903185529013
21,10.419944396597433,0.031080101368389422,52,9,23,0.5543069454719561,0.708590134548059,0.00850835811233123,4.739289833643593,0.01666672059463652,6,48,0.5111924246945372,0.8054692346480222,0.3444252659339981,0.1711152863543447,True,0.6572618064033603,46,13.55925346896912,10.9426963728172,0.02,46,True,0.5140181889849824,8.877889829642486,9.045451127793914,2,"baseline,xgboost",,,
22,10.504969802169892,0.051697205602642946,59,3,10,0.6297069580158534,0.5154761350501168,0.022469482438528997,0.938066464680703,0.024385677060455965,4,46,0.8938598044834926,0.8056878163373246,0.0021486186415633473,0.13538587760966228,True,0.7710464676237389,27,15.013955551920654,16.797395967031594,0.02,27,True,0.5179885003609777,8.951004301086959,9.01047548950019,2,"baseline,xgboost",,,
23,10.424129030771141,0.01477443057593776,26,15,8,0.7323242698628887,0.9040585917944916,0.0007851320828104141,6.309286871608537,0.011284601486873427,10,28,0.6082224178093839,0.4647048895068302,0.018759534728896902,0.22527895353935543,True,0.7335549475206732,49,39.206009192187864,12.891736098022731,0.02,49,True,0.5130957792736227,8.884841692950273,8.961269011304509,2,"baseline,xgboost",,,
24,10.467940329362595,0.09623808972208496,49,3,21,0.5406059410516297,0.41052415401456777,0.00013263858002918758,0.8698112836292373,0.010227687587239472,6,35,0.8548600601286163,0.6717427726597787,0.002428850077424994,0.1059316622303179,True,0.6207957902363684,20,27.369189493472085,14.033139364864741,0.04,20,True,0.515382699083116,8.921792232113248,9.16481676373036,2,"baseline,xgboost",,,
25,10.396595224928651,0.02495342488300725,26,11,45,0.5605041648389945,0.6611819759015428,0.0023290392834476596,1.8343261983717778,0.012164998401787483,10,45,0.5337393548475455,0.8219098591398248,5.832690840115609,0.424839733440065,True,0.6398053593895192,50,9.004434766044529,15.814440842358536,0.04,50,True,0.5152570904966537,8.85082395343869,8.985470033142848,2,"baseline,xgboost",12.203785194169924,2.5077576388516323,9.696027555318292
26,10.381960987873775,0.02304760788212147,29,6,57,0.5922241615995144,0.7118654934119331,0.06406312586503558,1.1422465354983098,0.01583389432847657,5,37,0.5393460614816874,0.8259429927752017,6.433652270965883,0.15772427488410484,True,0.686666756356002,52,10.213466831131093,14.608605793927772,0.02,52,True,0.5143549758769744,8.83889606024285,8.879897823251483,2,"baseline,xgboost",12.39444351400232,2.5169389621859133,9.877504551816408
27,10.475162012797886,0.018609769064452355,33,8,46,0.63301820795557,0.5479274808715535,0.0016714330773148587,0.37237807734504547,0.019774005110394583,9,42,0.5752816431169656,0.8674414119924624,0.488518789455031,1.6520222583004822,True,0.64355856662455,43,22.371994855366005,19.91749027963158,0.04,43,True,0.5157581546328979,8.927887548899193,8.912632893181536,2,"baseline,xgboost",,,
28,10.38079746222622,0.016805302039370175,38,6,49,0.6872482695285553,0.5890692729086312,0.5746434610654871,0.547718313486774,0.010003845758472008,3,32,0.6710232659769713,0.9244429248817553,2.9115513701373437,0.27670331600795284,True,0.6453974164585244,48,10.738414599499446,6.796698657133918,0.02,48,True,0.5145536480368637,8.837136518115628,8.915628937287925,2,"baseline,xgboost",12.405413560987663,2.510007675607877,9.895405885379786
29,10.40853421915471,0.01618287707943688,92,8,45,0.6700716871560847,0.733334911075862,0.14102130848771405,0.21594255814716293,0.014749006339398026,4,33,0.730251153808857,0.8659644702801185,1.9506343940845978,0.5544749503144758,True,0.6061646537358216,42,60.121388523286626,8.085069288838163,0.02,42,True,0.5142806876017709,8.865692156349397,8.889511089428382,2,"baseline,xgboost",,,
30,10.425865856144025,0.02447736305768901,20,6,39,0.5941291508132406,0.5235071855621317,0.3094042176401205,0.3196385713755074,0.010478829945402073,5,21,0.5401146966793431,0.9290393414675852,1.612955687424429,0.1612981156884922,False,0.6205953943676388,56,17.291254915766164,3.9530712024628083,0.02,143,False,0.5136179276939028,8.885012073062317,8.95752259382849,2,"baseline,xgboost",12.37833961948553,2.502348125313616,9.875991494171913
31,10.445119426993012,0.01343238952700261,86,10,39,0.6250809255960833,0.7135325743906351,0.04894878330720651,0.46807739836948614,0.018022368573951043,5,34,0.7054123181713212,0.8215750208280066,3.978452703638122,0.785965817628841,True,0.6185126209388631,42,86.17878589508531,8.421944014419706,0.02,42,True,0.515716170844027,8.897970914460931,8.916061191221372,2,"baseline,xgboost",,,
32,10.406176280188667,0.010849622069757888,15,15,46,0.5374603880491297,0.753670660725221,0.00988367724287597,2.0291063529200923,0.014038302904449686,11,47,0.6007425486098938,0.7815215860780598,2.4788514856475645,0.29345665196637993,True,0.6163875438581228,49,42.03266708634209,18.022272003834345,0.02,49,True,0.5146005134574605,8.862374739816286,8.905849876855028,2,"baseline,xgboost",,,
33,10.427405456986161,0.010073117621778585,19,13,43,0.5837651169462652,0.7165431224878444,0.0023969989627876916,8.25548685417291,0.012091167854377948,11,43,0.7244326375772919,0.9356305375622774,1.0814967772209279,0.19647564793446723,True,0.6053711649094813,52,58.58377563462304,16.973769717097277,0.02,52,True,0.5152456568268848,8.881668486505507,8.911322324555673,2,"baseline,xgboost",,,
34,10.498457983135975,0.011287923863013104,22,14,34,0.5142251838008609,0.4652591868075453,0.019968831507905443,1.386732374965974,0.02314339106531742,9,35,0.5841408162962367,0.5995247342030127,0.3787331340186431,0.18765242510299013,True,0.6292914131572954,51,34.40195192226739,20.807748998895857,0.02,51,True,0.5159606830460524,8.950575933997818,8.903466265603168,2,"baseline,xgboost",,,
35,10.418089594993175,0.041128005163708896,18,12,52,0.5308213786840322,0.6399173103213662,0.0017989788918938458,1.5320488702312507,0.010425107470677415,11,45,0.5447686397751305,0.8164615645839383,0.3490367731872036,0.5932789351493187,True,0.6391262381023931,57,14.64880163859411,18.42156568703134,0.04,57,True,0.5144079570750666,8.874865723767975,9.007523083394355,2,"baseline,xgboost",,,
36,10.393196135709685,0.029133795262039866,67,6,33,0.5362461101010825,0.6593115644738098,0.0830621527255955,0.5647852181831466,0.014332670905615604,3,33,0.673946593334557,0.8344178415625485,6.493860140908257,0.3219477906128281,True,0.6880039829267015,49,13.487148473508801,14.26240459488761,0.04,49,True,0.5144542510089989,8.849833382682688,9.032701291560532,2,"baseline,xgboost",,,
37,10.38834963631026,0.011905379173763152,18,6,53,0.5917828317208466,0.8131392455578129,0.17885199140745067,2.2462858169648725,0.017689777867837528,4,48,0.5861901301086686,0.7465093245539298,2.3143122760635384,0.1111180511409144,True,0.6595517194502628,47,29.89217445894982,16.88470576624779,0.04,47,True,0.5139649396147379,8.846454817466046,8.88276098158279,2,"baseline,xgboost",,,
38,10.3896603002087,0.01099734330352387,24,7,61,0.7251466228674286,0.7894352880685446,0.05674565242362553,5.206814258981244,0.013155827571203392,4,38,0.5754783278766119,0.7987972536572308,1.028421468495119,0.12450705434367319,True,0.6862805145969707,48,31.815699547311556,17.6907529116988,0.04,48,True,0.5129190647013763,8.850903106104571,8.889838262913427,2,"baseline,xgboost",,,
39,10.372079934461475,0.010541614841022832,28,3,98,0.6477253070312514,0.7659509903411748,0.10498549916597665,3.012410242947337,0.028815476926736347,6,39,0.5323256320752265,0.8692716537450805,0.8717176771254427,0.1326362124885784,True,0.6842329103276001,39,44.924124296007676,15.84898658232599,0.04,39,True,0.5150120669952463,8.827043733475737,8.915366211309008,2,"baseline,xgboost",12.524732530478486,2.516483933718875,10.00824859675961
40,10.400507785467413,0.02334889840479249,28,4,84,0.7938317197876343,0.6469348056658845,0.7139772456681064,0.3598471367313049,0.0129962286038504,6,49,0.6413307070662221,0.8348480389959445,2.204153995115136,0.4259437001857836,True,0.7621119499695755,40,20.75731559933466,7.186937497679771,0.02,40,True,0.513240958214771,8.8607849108231,8.885706224407746,2,"baseline,xgboost",12.208251388571986,2.5184399178832897,9.689811470688696
41,10.38524978801708,0.014208697881566734,15,3,83,0.6593968081981783,0.7758048632716247,0.04054853632942357,4.538364990225275,0.017322928454595075,4,49,0.5240858144413575,0.6767505985980534,0.11166270534309568,0.2575150395741069,True,0.7099506018585164,37,35.21304452340967,14.4890071714492,0.04,37,True,0.5136912565882713,8.844176018252266,8.881848784825143,2,"baseline,xgboost",,,
42,10.412231349293334,0.011640970668840706,34,6,79,0.6129747518559788,0.6642927299183566,0.009849064140639872,0.5332484500381787,0.02753317639447896,6,40,0.5344434621845333,0.7932574278472848,8.989813505367719,0.14580368604970867,True,0.7632253811106703,48,21.756198229039047,14.793008037325446,0.02,48,True,0.5147141763905544,8.86808882012167,8.888636258010775,2,"baseline,xgboost",,,
43,10.408703151991432,0.012131134834733819,17,4,65,0.6603981645197469,0.7966993162070654,0.08764077509375015,2.329607518424445,0.017377710001054283,5,49,0.5551863277311272,0.9423733843470661,0.049093840856477035,0.10808964006639574,True,0.634488655757044,28,60.00469284767897,16.173001169968575,0.04,28,True,0.5144696277708526,8.865294268678875,8.862568532381378,2,"baseline,xgboost",,,
44,10.500501401995658,0.012909744244882703,54,4,81,0.6882270990689947,0.8508501769555479,0.005112610068584559,4.983976952939956,0.059869604669729445,7,35,0.5521429045399477,0.7829190690427928,0.8597645981494496,0.2949832533449093,True,0.6225727535455895,38,50.40514436024893,12.196810226724237,0.04,38,True,0.5167046287398124,8.950387515776221,8.874109668786446,2,"baseline,xgboost",,,
