window,threshold,margin,strength,cap,visible_mae,visible_rmse,visible_max_abs,visible_changed,oof_mae_delta,oof_rmse_delta,oof_high_mae_delta,oof_changed
T1,7.0,0.8,0.1,0.5,0.4200000000000001,0.5648008498577175,1.5999999999999996,13,-0.01476185062624924,-0.007891692043711984,-0.08920215254378983,383
T1,7.0,0.8,0.2,0.5,0.41000000000000014,0.5449770637375485,1.3999999999999995,15,-0.025708352683862623,-0.01384939952851827,-0.1548811648894689,402
T1,7.0,0.8,0.3,0.5,0.4200000000000002,0.5612486080160912,1.299999999999999,15,-0.033626048157113564,-0.018071781877433413,-0.202387337728975,404
T1,7.0,0.8,0.4,0.5,0.45500000000000007,0.5843800133474792,1.1999999999999993,15,-0.035798887663286205,-0.020216541598244042,-0.21542437476601217,404
T1,7.0,0.8,0.5,0.5,0.49000000000000005,0.5991660871578097,1.2000000000000002,16,-0.03361781770443839,-0.02026513083162307,-0.20233795501292573,405
T1,7.0,0.8,0.6,0.5,0.5349999999999999,0.6484597134749391,1.3000000000000007,16,-0.029173373259993918,-0.01878571521366501,-0.1756712883462591,405
T1,7.0,0.8,0.7,0.5,0.5899999999999999,0.6949820141557621,1.3000000000000007,16,-0.020202179844355905,-0.0152685452594441,-0.12184412785243193,405
T1,7.0,0.8,0.8,0.5,0.64,0.7496665925596525,1.4000000000000004,16,-0.007296830050117498,-0.009497949183442156,-0.044412029086999705,405
T1,7.0,0.8,0.9,0.5,0.6799999999999998,0.7899367063252599,1.4000000000000004,16,0.008711400402557246,-0.002081207697633314,0.05163735362904953,405
T1,7.0,0.8,1.0,0.5,0.74,0.8608135686662939,1.5,16,0.028168190526014047,0.007338608589821938,0.16837809436979023,405
T1,7.0,0.9,0.1,0.5,0.41500000000000004,0.5563272418280449,1.5999999999999996,11,-0.013856500832010399,-0.007507817983674947,-0.08377005377835778,371
T1,7.0,0.9,0.2,0.5,0.4200000000000001,0.5576737397439474,1.4999999999999991,15,-0.025173373259994136,-0.013456596663497855,-0.15167128834625898,401
T1,7.0,0.9,0.3,0.5,0.4150000000000002,0.5545268253204709,1.299999999999999,15,-0.03319806461801855,-0.017838684376593417,-0.19981943649440714,402
T1,7.0,0.9,0.4,0.5,0.42500000000000016,0.5590169943749475,1.1999999999999993,15,-0.0367124679102,-0.02024008275855893,-0.2209058562474936,403
T1,7.0,0.9,0.5,0.5,0.46000000000000013,0.5779273310719957,1.1000000000000005,15,-0.03678654198427411,-0.02116083524157686,-0.22135030069193806,403
T1,7.0,0.9,0.6,0.5,0.5050000000000001,0.6192737682156414,1.2000000000000002,15,-0.03238324980320395,-0.01998020240279308,-0.1949305476055183,404
T1,7.0,0.9,0.7,0.5,0.5349999999999999,0.6545991139621259,1.3000000000000007,15,-0.025634278609788508,-0.017343223049009815,-0.15443672044502454,404
T1,7.0,0.9,0.8,0.5,0.5800000000000001,0.6892024376045113,1.3000000000000007,15,-0.015280369144767825,-0.012954054345568178,-0.09231326365490111,404
T1,7.0,0.9,0.9,0.5,0.6100000000000001,0.719027120489902,1.3000000000000007,15,-0.0018647312846853392,-0.006837790710008562,-0.011819436494407087,404
T1,7.0,0.9,1.0,0.5,0.6699999999999998,0.787400787401181,1.4000000000000004,15,0.014637326328483358,0.0009572581783272582,0.0871929091846051,404
