token,lon,lat,main_mag,pred_mag,pred_time_str,window,original_pred_mag,adjusted
20010126031640,70.23,23.42,7.7,6.1,2001012607,T1,6.0,True
20010126031640,70.23,23.42,7.7,6.0,2001012717,T2,5.9,True
20021103221241,-147.45,63.51,7.9,6.3,2002110323,T1,6.1,True
20021103221241,-147.45,63.51,7.9,5.2,2002110511,T2,4.6,True
20041226005853,95.98,3.3,9.1,7.4,2004122604,T1,6.7,True
20041226005853,95.98,3.3,9.1,6.4,2004122717,T2,5.9,True
20070815234057,-76.6,-13.39,8.0,6.4,2007081603,T1,5.9,True
20070815234057,-76.6,-13.39,8.0,6.2,2007081714,T2,6.1,True
20080512062804,103.4,31.0,8.0,6.2,2008051310,T2,6.0,True
20110311054624,142.37,38.3,9.1,7.5,2011031111,T1,7.2,True
20110311054624,142.37,38.3,9.1,6.6,2011031219,T2,6.2,True
20120411083836,93.06,2.33,8.6,7.0,2012041113,T1,6.5,True
20120411083836,93.06,2.33,8.6,5.8,2012041212,T2,5.2,True
20150425061125,84.73,28.23,7.8,5.4,2015042706,T2,4.9,True
20230206011734,37.01,37.23,7.8,5.8,2023020704,T2,5.6,True
20021103221241,-147.45,63.51,7.9,5.3,2002110810,T3,4.9,True
20041226005853,95.98,3.3,9.1,6.4,2005010106,T3,5.7,True
20080512062804,103.4,31.0,8.0,5.6,2008051702,T3,5.5,True
20110311054624,142.37,38.3,9.1,6.5,2011031508,T3,6.0,True
20120411083836,93.06,2.33,8.6,5.9,2012041622,T3,5.3,True
20150425061125,84.73,28.23,7.8,5.3,2015050105,T3,5.1,True
20210521180411,98.34,34.59,7.4,4.9,2021052703,T3,4.5,True
20230206011734,37.01,37.23,7.8,5.4,2023021023,T3,5.3,True
20240122180905,78.63,41.26,7.1,4.8,2024012712,T3,4.7,True
